"id","name","area","ingredients"
52822,"Toad In The Hole","British","sausages, vegetable oil, plain flour, eggs, horseradish, milk, cherry tomatoes"
53000,"Vegetable Shepherds Pie","Irish","Potatoes, Small Potatoes, Salted Butter, Mushrooms, Brown Lentils, Garlic, Kosher Salt, Onion, Tomato Puree, Bay Leaves, Olive Oil, Dry White Wine, Vegetable Stock, Cornstarch, Soy Sauce, Rosemary, Parsley, Sage, Chives"
52830,"Crock Pot Chicken Baked Tacos","Mexican","Chicken Breasts, Vinaigrette Dressing, Cumin, Smoked Paprika, Garlic, Refried Beans, Hard Taco Shells, Shredded Mexican Cheese, Grape Tomatoes, Jalapeno, Avocado, Green Salsa, Sour Cream, Milk"
52781,"Irish stew","Irish","whole wheat, lamb loin chops, olive oil, shallots, carrots, turnips, celeriac, charlotte potatoes, white wine, caster sugar, fresh thyme, oregano, chicken stock"
52908,"Ratatouille","French","Aubergine, Courgettes, Yellow Pepper, Tomato, Olive Oil, Basil, Onion, Garlic Clove, Red Wine Vinegar, Sugar"
52907,"Duck Confit","French","Sea Salt, Bay Leaf, Garlic, Thyme, Duck Legs, White Wine"
52795,"Chicken Handi","Indian","Chicken, Onion, Tomatoes, Garlic, Ginger paste, Vegetable oil, Cumin seeds, Coriander seeds, Turmeric powder, Chilli powder, Green chilli, Yogurt, Cream, fenugreek, Garam masala, Salt"
52891,"Blackberry Fool","British","Hazlenuts, Butter, Caster Sugar, Lemon, Plain Flour, Baking Powder, Blackberrys, Sugar, Caster Sugar, Lemon Juice, Double Cream, Yogurt, Mint"
52973,"Leblebi Soup","Tunisian","Olive Oil, Onion, Chickpeas, Vegetable Stock, Cumin, Garlic, Salt, Harissa Spice, Pepper, Lime"
52792,"Bread and Butter Pudding","British","butter, bread, sultanas, cinnamon, milk, double cream, eggs, sugar, nutmeg"
52770,"Spaghetti Bolognese","Italian","onions, olive oil, garlic, lean minced beef, mushrooms, dried oregano, tomatoes, hot beef stock, tomato puree, worcestershire sauce, spaghetti, parmesan"
52838,"Venetian Duck Ragu","Italian","Olive Oil, Duck Legs, Onions, Garlic, Cinnamon, Plain Flour, Red Wine, Chopped Tomatoes, Chicken Stock Cube, Rosemary, Bay Leaves, Sugar, Milk, Paccheri Pasta, Parmesan Cheese"
52815,"French Lentils With Garlic and Thyme","French","Olive Oil, Onion, Garlic, Carrot, French Lentils, Thyme, Bay Leaf, Salt, Celery"
52803,"Beef Wellington","British","mushrooms, English Mustard, Olive Oil, Beef Fillet, Parma ham, Puff Pastry, Flour, Egg Yolks"
